,Unnamed: 0,abstract,author,date,headline,section,source,word_count,id,candidate
22866,22866," [...]a presidential election that once appeared to favor Obama is now razor close again, and heading toward an unpredictable finish. The Romney campaign found new momentum in last week's debate, and Obama hasn't yet stopped it. [...]the Pew poll included fascinating data that suggest some of the reasons for Romney's advance.","McMANUS, DOYLE",2012-10-10,Romney's big bounce,Main News; Part A; Editorial Desk,Los Angeles Times,857.0,22866,Romney
22867,22867," [...]that he ""infuriated"" the Palestinians by neglecting to note the effects of Israel's blockade of the Gaza Strip after Hamas took power is consistent with America not supporting any regime whose charter clearly states the goal of destroying a neighboring democratic entity. [...]the editorial didn't make it clear that a major reason for separation between the Obama administration's foreign policy and that of Israel is the reactionary and often bellicose stances of Israel's conservative government toward its neighbors. The two sides of journalism Re ""Truth, lies and Obama,"" Opinion, July 31 Jonah Goldberg does exactly what author David Maraniss addressed in his Op-Ed piece that Goldberg was opining on: repeat the lies and add, ""I think Maraniss is a great reporter, and I don't believe for a moment he is in on a cover-up of Obama's real place of birth or his secret Muslim faith.""",,2012-08-04,"Romney, abroad",Main News; Part A; Letters Desk,Los Angeles Times,1112.0,22867,Romney
22871,22871," Without a continuation of the increased amounts paid to low-income-area hospitals by the federal government via its Disproportionate Share Hospital fund, here in L.A. County -- even with Medicaid expansion -- the results will be catastrophic. Romney's views on education Re ""Romney's radical vision,"" Opinion, Sept. 7 Jonathan Zimmerman states that Mitt Romney's education plan would ""allow students to enroll in better schools outside their own district,"" and that, ""for the first time, a major political candidate has suggested that kids in a poor public school district should be allowed to enroll in a wealthier one.""",,2012-09-11,Behind the bars,Main News; Part A; Letters Desk,Los Angeles Times,1137.0,22871,Romney
22881,22881," Mitt Romney and Republican convention officials kept a close watch Thursday on Tropical Storm Isaac, forecast to roar up the Gulf of Mexico as a hurricane on the opening day of the national party gathering.","West, Paul",2012-08-24,Republicans on hurricane watch; A tropical storm threatens to gain strength and crash the Florida convention.,LATExtra; Part AA; National Desk,Los Angeles Times,811.0,22881,Romney
22896,22896," The exclusive interview on ""60 Minutes""with Republican presidential candidate Mitt Romney and his new running mate Paul Ryan wasn't enough to overpower the Summer Olympics closing ceremony, dominating prime-time in the 50+ demographic --which usually bolsters the newsmagazine -- among broadcast networks for the week ending Aug. 5 with 15.8 million viewers.","Villarreal, Yvonne",2012-08-19,TELEVISION; RATINGS GAME; NBC is lord of the rings,Sunday Calendar; Part D; Calendar Desk,Los Angeles Times,154.0,22896,Romney
22909,22909, Not only will he have the chance to brush up his foreign policy credentials -- a weak spot in his resume -- but his presence at the opening ceremonies of the Olympics on Friday also will allow his campaign to highlight his experience turning around the 2002 Winter Olympics in Salt Lake City at a time when the organization faced scandal and financial crisis.,"Reston, Maeve",2012-07-23,"THE NATION; CAMPAIGN 2012; Romney takes the foreign stage; Visits to Israel, Britain and Poland will give him a chance to show how he might look as a world leader.",Main News; Part A; National Desk,Los Angeles Times,830.0,22909,Romney
22920,22920," During a visit to Jacksonville during the summer, Obama argued that Romney's vow to repeal the Democrats' new healthcare law would cause 200,000 Floridians to pay more for prescription drugs, and he accused Romney of trying to turn Medicare into a voucher program.","Reston, Maeve",2012-10-07,"THE NATION; Romney shows new side in Florida; In a critical state, he courts seniors and uses personal stories to soften his image.",Main News; Part A; National Desk,Los Angeles Times,1003.0,22920,Romney
22928,22928," A David Horsey editorial cartoon depicts Republican presidential candidate Mitt Romney having a ""nightmare,"" in which his father says ""Son! Why are you calling the working poor and retired folks government-dependent victims?! You're talking like a spoiled country club brat!""","Horsey, David",2012-09-28,Editorial cartoon,,Los Angeles Times,,22928,Romney
22929,22929," [...]the list of successful businessmen who became great politicians is surprisingly short. [...]while the younger Romney certainly had success in building Bain Capital, a hedge fund that invested in troubled companies and start-ups, that by no means guarantees that a Romney presidency would be a triumph -- or even that he will be elected. [...]the Romney campaign has had a simple theory of how to win the election -- its business plan, if you will.","McMANUS, DOYLE",2012-09-19,Are businessmen better?,Main News; Part A; Editorial Desk,Los Angeles Times,869.0,22929,Romney
22934,22934," The Obama campaign has seized on Romney's tax rate as an example of what it calls the unfairness of the tax code. Because most of Romney's income derives from investments, his tax rate falls well below that paid by many middle-class families. The cuts, which Romney's running mate, Rep. Paul D. Ryan of Wisconsin, included in a federal budget plan that serves as the Republican Party's election-year agenda, do not reduce the amount of anyone's healthcare coverage.","Finnegan, Michael; Abcarian, Robin",2012-08-17,THE NATION; Romney 'never paid less than 13%'; He tries to quiet the clamor about his taxes but still isn't releasing any more returns.,Main News; Part A; National Desk,Los Angeles Times,866.0,22934,Romney
22936,22936," Even as the lion's share of attention in the presidential campaign goes to the battleground of Ohio and the storm-battered states of the Mid-Atlantic, the outcome to the south, in the nation's largest swing state, now seems very much in doubt. Obama carried the state in 2008 by just over 236,000 votes. Because the recession largely shut down white migration here from other states as the black and Puerto Rican population grew, the electorate has grown more diverse.","Lauter, David",2012-11-02,"CAMPAIGN 2012; Romney has his back to the wall in Florida; In a must-win state for the Republican where he once held an edge, polls are now even and Latino votes vital.",Main News; Part A; National Desk,Los Angeles Times,1228.0,22936,Romney
22945,22945," The small group of voters who remain undecided or at least open to persuasion in the presidential campaign consistently tell pollsters that they want to hear specifics and don't like partisan attacks. Obama was able to use the debate to make some points of importance to groups that have helped fuel his rise, particularly Latinos and blue-collar women. Since mid-August, Obama has gone from about 60% support among Latinos to 66% in Gallup's polling.","Lauter, David",2012-10-04,ELECTION 2012 / THE FIRST PRESIDENTIAL DEBATE; NEWS ANALYSIS; Divided they stand; Romney gains momentum with smooth shift to center,LATExtra; Part AA; National Desk,Los Angeles Times,932.0,22945,Romney
22952,22952," A line of Range Rovers, BMWs, Porsche roadsters and one gleaming, cherry red Ferrari began queuing outside Perelman's estate long before Romney arrived, as campaign aides and staffers in white polo shirts emblazoned with the logo of Perelman's property checked off names under tight security.","Reston, Maeve",2012-07-09,THE NATION; Pricey Romney events draw protests,Main News; Part A; National Desk,Los Angeles Times,1060.0,22952,Romney
22953,22953," In town from New York for a ""We're the Millers"" table read, Sudeikis is mellow but politic about his future, wearing workout clothes and a pair of gleaming white Nikes, a gift from his girlfriend, actress Olivia Wilde. From director Jay Roach and writers Chris Henchy and Shawn Harwell, ""The Campaign"" stars Ferrell as Cam Brady, an airhead Democratic congressman from North Carolina who is running for reelection against bumpkinlike Republican big money pawn Marty Huggins (Zach Galifianakis).","Keegan, Rebecca",2012-08-09,"AT THE MOVIES; Decision 2012; As Jason Sudeikis' movie career grows, his leaving 'Saturday Night Live' is in play. More Romney spoofs won't be enough.",Calendar; Part D; Entertainment Desk,Los Angeles Times,1221.0,22953,Romney
